,YEAR,X,Y,OILDISCOVERED_BINARY,GASDISCOVERED_BINARY
0,1972,780523.1632692544,6643722.860083601,0.0,1.0
1,1972,780137.2074173547,6649534.984589502,0.0,0.0
2,1975,780637.6360870282,6650956.795346776,0.0,1.0
3,1976,781373.3019832963,6649104.091947763,0.0,1.0
4,1990,533774.6047230752,6485896.037976534,1.0,0.0
5,1989,545395.250481494,6490276.334815711,1.0,0.0
6,2006,539539.874400864,6487783.80270981,0.0,0.0
7,1988,505189.328211201,6476536.122157505,0.0,0.0
8,1993,509937.64868362894,6476551.571290029,0.0,0.0
9,2008,521075.8889921384,6472968.043784214,0.0,0.0
10,1990,528183.2448479126,6481103.818941533,0.0,0.0
11,2008,551088.246665388,6467338.00713937,0.0,0.0
12,1969,506857.9304401655,6458516.540261926,0.0,0.0
13,1983,500852.8907048521,6450147.573566879,1.0,0.0
14,1984,503032.0064918435,6461873.57266976,1.0,0.0
15,1986,505183.45456593216,6448091.179465227,1.0,0.0
16,1987,500140.7926782029,6450957.778576383,0.0,0.0
17,2007,501182.3267262879,6449190.231315905,1.0,0.0
18,1969,516561.7443480764,6456844.457629057,0.0,0.0
19,1982,521152.7073141842,6456963.579983692,0.0,0.0
20,1986,515383.80566328863,6464522.362273894,0.0,0.0
21,2002,520844.5483562306,6448890.514747574,0.0,0.0
22,1967,532389.9251171342,6461242.051807101,0.0,0.0
23,1982,530413.3378780894,6457994.139597666,0.0,0.0
24,1985,531405.6965078985,6455998.479163032,1.0,0.0
25,1986,531401.0031960373,6455963.627523797,1.0,0.0
26,1975,537138.7389837295,6458676.127744292,0.0,0.0
27,1981,539157.1796051251,6457480.530603086,1.0,0.0
28,1986,539183.2790416596,6462001.893322163,0.0,0.0
29,1991,553528.2849668864,6461849.290170177,0.0,0.0
30,2009,557638.1033318191,6452346.000644765,1.0,0.0
31,2009,555829.2285588181,6456777.586845865,1.0,0.0
32,2009,558153.8808900026,6460500.607218324,1.0,0.0
33,1967,511094.3805857574,6433278.27415539,0.0,0.0
34,1992,502756.0154730334,6440804.936999776,0.0,0.0
35,1992,503996.8865462465,6437258.927047479,0.0,0.0
36,1999,507147.792592939,6444712.697472874,0.0,0.0
37,2008,500381.50311497017,6443913.40250586,1.0,0.0
38,1983,515836.07455061673,6437014.066906395,0.0,1.0
39,1983,519427.5150319935,6437351.088923038,0.0,0.0
40,2015,517855.11204579833,6441132.290990275,0.0,0.0
41,1990,512834.2448646391,6444453.058130335,1.0,1.0
42,1982,530944.3198982968,6441629.606315376,0.0,0.0
43,1984,530596.8171633015,6431851.306007638,0.0,0.0
44,1984,526301.4434276455,6437741.15001227,0.0,0.0
45,1981,536516.228536926,6442967.700243749,1.0,0.0
46,1985,538843.2563851515,6429025.225485681,1.0,0.0
47,1974,553032.8413512664,6443998.63911497,0.0,0.0
48,1982,564511.2508595044,6496000.1581083,0.0,0.0
49,1980,573247.5824062042,6488421.2670072,0.0,0.0
50,1983,576305.3092619922,6497197.483580519,0.0,0.0
51,1982,592094.3518297052,6495471.0130631365,0.0,0.0
52,1981,598067.9725582626,6497008.882533424,0.0,0.0
53,1991,564389.3238433881,6472054.331787562,1.0,0.0
54,1975,579269.4483675428,6478252.847619727,0.0,0.0
55,1979,591282.6501920688,6483880.518573179,0.0,0.0
56,1979,593958.9431976208,6475712.51481073,0.0,0.0
57,1981,598661.4606464354,6471166.755504403,0.0,0.0
58,1984,596499.7708599549,6467475.886424383,1.0,0.0
59,1990,568453.292430742,6461417.03996931,0.0,0.0
60,1990,568479.6791701483,6461407.908431811,1.0,1.0
61,1996,569534.2082976364,6462358.128708984,1.0,0.0
62,1996,568815.726961931,6462096.616674037,1.0,0.0
63,2001,567013.7827888604,6463020.707678782,1.0,0.0
64,2001,565402.7829930603,6461782.807496263,1.0,1.0
65,1991,568143.6548317672,6455852.16199779,0.0,0.0
66,2007,558676.3800892588,6457739.223368974,1.0,0.0
67,1977,572523.2206271996,6462537.589768157,1.0,0.0
68,1993,574100.8859612993,6464437.016919834,1.0,0.0
69,1993,577601.1542870908,6463826.592168137,1.0,0.0
70,1993,572759.2510228998,6464493.367739246,1.0,0.0
71,1993,573356.9724565009,6461757.349318255,1.0,0.0
72,1993,571072.544821851,6464848.955775678,0.0,0.0
73,1993,578946.7663675608,6464459.690278971,1.0,0.0
74,1993,571393.1989719498,6462198.3245123,1.0,0.0
75,1993,577476.9945240287,6462886.76591522,1.0,0.0
76,1993,574548.3773502478,6462648.380849435,1.0,0.0
